episode_id,agent,maze,total_steps,final_score,foods_eaten,died,avg_dist_to_food,direction_changes,dead_end_entries,path_optimality,steps_per_food
197,AStar,Maze1_easy.txt,2000,570,57,0,21.7915,107,0,1.0,35.09
198,AStar,Maze1_easy.txt,2000,520,52,0,23.089,94,0,1.0,38.46
199,AStar,Maze1_easy.txt,2000,570,57,0,22.356,106,0,1.0,35.09
200,AStar,Maze1_easy.txt,2000,540,54,0,23.215,100,0,1.0,37.04
201,AStar,Maze2_medium.txt,2000,520,52,0,23.1765,168,0,1.0,38.46
202,AStar,Maze2_medium.txt,2000,630,63,0,19.471,168,0,1.0,31.75
203,AStar,Maze2_medium.txt,2000,500,50,0,24.2185,172,0,1.0,40.0
204,AStar,Maze2_medium.txt,2000,570,57,0,20.883,166,0,1.0,35.09
205,AStar,Maze2_medium.txt,2000,510,51,0,22.7075,127,0,1.0,39.22
206,AStar,Maze2_medium.txt,2000,530,53,0,23.534,156,0,1.0,37.74
207,AStar,Maze2_medium.txt,2000,600,60,0,20.243,154,0,1.0,33.33
208,AStar,Maze2_medium.txt,2000,440,44,0,25.85,154,0,1.0,45.45
209,AStar,Maze2_medium.txt,2000,540,54,0,22.5975,140,0,1.0,37.04
210,AStar,Maze2_medium.txt,2000,510,51,0,24.6345,149,0,1.0,39.22
211,AStar,Maze2_medium.txt,2000,520,52,0,24.111,162,0,1.0,38.46
212,AStar,Maze2_medium.txt,2000,520,52,0,22.829,158,0,1.0,38.46
213,AStar,Maze2_medium.txt,2000,540,54,0,22.7385,166,0,1.0,37.04
214,AStar,Maze2_medium.txt,2000,570,57,0,21.994,163,0,1.0,35.09
215,AStar,Maze2_medium.txt,2000,630,63,0,18.946,187,0,1.0,31.75
216,AStar,Maze2_medium.txt,2000,530,53,0,22.5525,154,0,1.0,37.74
217,AStar,Maze2_medium.txt,2000,570,57,0,21.0415,166,0,1.0,35.09
218,AStar,Maze2_medium.txt,2000,490,49,0,25.5705,148,0,1.0,40.82
219,AStar,Maze2_medium.txt,2000,520,52,0,23.109,145,0,1.0,38.46
220,AStar,Maze2_medium.txt,2000,530,53,0,23.607,148,0,1.0,37.74
221,AStar,Maze2_medium.txt,2000,530,53,0,22.333,180,0,1.0,37.74
222,AStar,Maze2_medium.txt,2000,500,50,0,24.8745,166,0,1.0,40.0
223,AStar,Maze2_medium.txt,2000,510,51,0,23.5485,171,0,1.0,39.22
224,AStar,Maze2_medium.txt,2000,550,55,0,22.743,155,0,1.0,36.36
225,AStar,Maze2_medium.txt,2000,540,54,0,22.0175,170,0,1.0,37.04
226,AStar,Maze2_medium.txt,2000,550,55,0,21.59,157,0,1.0,36.36
227,AStar,Maze2_medium.txt,2000,540,54,0,22.355,172,0,1.0,37.04
228,AStar,Maze2_medium.txt,2000,520,52,0,22.985,143,0,1.0,38.46
229,AStar,Maze2_medium.txt,2000,550,55,0,21.8715,163,0,1.0,36.36
230,AStar,Maze2_medium.txt,2000,610,61,0,22.459,160,0,1.0,32.79
231,AStar,Maze2_medium.txt,2000,520,52,0,24.286,153,0,1.0,38.46
232,AStar,Maze2_medium.txt,524,120,12,0,25.4389,50,0,1.0,43.67
233,AStar,Maze2_medium.txt,2000,550,55,0,23.598,158,0,1.0,36.36
234,AStar,Maze2_medium.txt,2000,480,48,0,25.7385,139,0,1.0,41.67
235,AStar,Maze2_medium.txt,2000,530,53,0,22.669,154,0,1.0,37.74
