episode_id,agent,maze,total_steps,final_score,foods_eaten,died,avg_dist_to_food,direction_changes,dead_end_entries,path_optimality,steps_per_food,cluster,tsne_x,tsne_y
209,AStar,Maze2_medium.txt,2000,540,54,0,22.5975,140,0,1.0,37.04,0,41.570965,-19.790043
210,AStar,Maze2_medium.txt,2000,510,51,0,24.6345,149,0,1.0,39.22,0,20.419899,-6.912741
211,AStar,Maze2_medium.txt,2000,520,52,0,24.111,162,0,1.0,38.46,0,36.91001,-1.2691677
212,AStar,Maze2_medium.txt,2000,520,52,0,22.829,158,0,1.0,38.46,0,42.741898,-2.0229886
213,AStar,Maze2_medium.txt,2000,540,54,0,22.7385,166,0,1.0,37.04,0,49.693287,-0.6319713
214,AStar,Maze2_medium.txt,2000,570,57,0,21.994,163,0,1.0,35.09,0,67.68713,-5.5513997
215,AStar,Maze2_medium.txt,2000,630,63,0,18.946,187,0,1.0,31.75,0,86.33253,-2.388293
216,AStar,Maze2_medium.txt,2000,530,53,0,22.5525,154,0,1.0,37.74,0,44.256336,-12.251401
217,AStar,Maze2_medium.txt,2000,570,57,0,21.0415,166,0,1.0,35.09,0,73.32868,-0.8934509
218,AStar,Maze2_medium.txt,2000,490,49,0,25.5705,148,0,1.0,40.82,0,11.417073,1.9262147
219,AStar,Maze2_medium.txt,2000,520,52,0,23.109,145,0,1.0,38.46,0,19.566994,-13.403792
220,AStar,Maze2_medium.txt,2000,530,53,0,23.607,148,0,1.0,37.74,0,23.676134,-13.240553
221,AStar,Maze2_medium.txt,2000,530,53,0,22.333,180,0,1.0,37.74,0,55.956345,10.427199
222,AStar,Maze2_medium.txt,2000,500,50,0,24.8745,166,0,1.0,40.0,0,31.041637,4.806336
223,AStar,Maze2_medium.txt,2000,510,51,0,23.5485,171,0,1.0,39.22,0,46.21674,7.5691247
224,AStar,Maze2_medium.txt,2000,550,55,0,22.743,155,0,1.0,36.36,0,51.948353,-16.144241
225,AStar,Maze2_medium.txt,2000,540,54,0,22.0175,170,0,1.0,37.04,0,57.78601,1.8985145
226,AStar,Maze2_medium.txt,2000,550,55,0,21.59,157,0,1.0,36.36,0,55.27058,-12.051279
227,AStar,Maze2_medium.txt,2000,540,54,0,22.355,172,0,1.0,37.04,0,58.551075,2.7941864
228,AStar,Maze2_medium.txt,2000,520,52,0,22.985,143,0,1.0,38.46,0,18.892565,-13.718556
229,AStar,Maze2_medium.txt,2000,550,55,0,21.8715,163,0,1.0,36.36,0,55.15253,-9.862789
230,AStar,Maze2_medium.txt,2000,610,61,0,22.459,160,0,1.0,32.79,0,72.023224,-11.827214
231,AStar,Maze2_medium.txt,2000,520,52,0,24.286,153,0,1.0,38.46,0,22.930925,-7.4959908
232,AStar,Maze2_medium.txt,524,120,12,0,25.4389,50,0,1.0,43.67,1,-11.545686,-0.5728208
233,AStar,Maze2_medium.txt,2000,550,55,0,23.598,158,0,1.0,36.36,0,38.18494,-7.9497066
234,AStar,Maze2_medium.txt,2000,480,48,0,25.7385,139,0,1.0,41.67,0,10.677366,-3.6114635
235,AStar,Maze2_medium.txt,2000,530,53,0,22.669,154,0,1.0,37.74,0,43.755016,-12.077177
236,AStar,Maze2_medium.txt,2000,570,57,0,21.5005,162,0,1.0,35.09,0,69.97064,-5.395236
237,AStar,Maze2_medium.txt,2000,550,55,0,22.357,171,0,1.0,36.36,0,60.388515,1.6708883
238,AStar,Maze2_medium.txt,2000,550,55,0,21.426,145,0,1.0,36.36,0,45.714115,-20.1165
239,AStar,Maze2_medium.txt,2000,550,55,0,21.7635,148,0,1.0,36.36,0,46.559643,-19.701145
